Base,Reranker,Metric,Value,Optimization,Protected
RankALS,FairStar,NDCG,0.0529,Separate,Loan Bucket 5
BPR,PFAR,NDCG,0.0633,Separate,Loan Bucket 5
BMF,PFAR,NDCG,0.0594,Separate,Loan Bucket 5
SLIM,PFAR,NDCG,0.016,Separate,Loan Bucket 5
RankALS,PFAR,NDCG,0.0535,Separate,Loan Bucket 5
BPR,FAR,NDCG,0.0642,Joint,Loan Bucket 5
BMF,FAR,NDCG,0.0312,Joint,Loan Bucket 5
SLIM,FAR,NDCG,0.015,Joint,Loan Bucket 5
RankALS,FAR,NDCG,0.0535,Joint,Loan Bucket 5
BPR,FairStar,NDCG,0.0593,Joint,Loan Bucket 5
SLIM,FairStar,NDCG,0.0159,Joint,Loan Bucket 5
RankALS,FairStar,NDCG,0.0527,Joint,Loan Bucket 5
BPR,PFAR,NDCG,0.0645,Joint,Loan Bucket 5
BMF,PFAR,NDCG,0.0312,Joint,Loan Bucket 5
SLIM,PFAR,NDCG,0.016,Joint,Loan Bucket 5
RankALS,PFAR,NDCG,0.0535,Joint,Loan Bucket 5
BPR,FAR,NDCG,0.0694,Joint-5%,Loan Bucket 5
BMF,FAR,NDCG,0.033,Joint-5%,Loan Bucket 5
SLIM,FAR,NDCG,0.0162,Joint-5%,Loan Bucket 5
RankALS,FAR,NDCG,0.0529,Joint-5%,
BPR,FairStar,NDCG,0.0596,Joint-5%,Loan Bucket 5
BMF,FairStar,NDCG,0.0341,Joint-5%,Loan Bucket 5
SLIM,FairStar,NDCG,0.01695,Joint-5%,Loan Bucket 5
RankALS,FairStar,NDCG,0.0524,Joint-5%,Loan Bucket 5
BPR,PFAR,NDCG,0.0692,Joint-5%,Loan Bucket 5
BMF,PFAR,NDCG,0.033,Joint-5%,Loan Bucket 5
SLIM,PFAR,NDCG,0.0165,Joint-5%,Loan Bucket 5
RankALS,PFAR,NDCG,0.0529,Joint-5%,Loan Bucket 5
BPR,FAR,NDCG,0.0694,Joint-2%,Loan Bucket 5
BMF,FAR,NDCG,0.0326,Joint-2%,Loan Bucket 5
SLIM,FAR,NDCG,0.0167,Joint-2%,Loan Bucket 5
RankALS,FAR,NDCG,0.0554,Joint-2%,
BPR,FairStar,NDCG,0.033,Joint-2%,Loan Bucket 5
BMF,FairStar,NDCG,0.0331,Joint-2%,Loan Bucket 5
SLIM,FairStar,NDCG,0.0167,Joint-2%,Loan Bucket 5
RankALS,FairStar,NDCG,0.0554,Joint-2%,Loan Bucket 5
BPR,PFAR,NDCG,0.06368,Joint-2%,Loan Bucket 5
BMF,PFAR,NDCG,0.0303,Joint-2%,Loan Bucket 5
SLIM,PFAR,NDCG,0.0167,Joint-2%,Loan Bucket 5
RankALS,PFAR,NDCG,0.0548,Joint-2%,Loan Bucket 5
